AARTI	Hindu ceremony [n]
AARTIS	AARTI, Hindu ceremony [n]
ACHKAN	man's coat in India [n]
ACHKANS	ACHKAN, man's coat in India [n]
AKHARA	(in India) gymnasium [n]
AKHARAS	AKHARA, (in India) gymnasium [n]
ALAAP	part of raga in Indian music [n]
ALAAPS	ALAAP, part of raga in Indian music [n]
ALAP	Indian vocal music without words [n]
ALAPA	part of raga in Indian music [n]
ALAPAS	ALAPA, part of raga in Indian music [n]
ALAPS	ALAP, Indian vocal music without words [n]
ALOO	(in Indian cookery) potato [n]
ALOOS	ALOO, (in Indian cookery) potato [n]
ALU	aloo ((in Indian cookery) potato)
AMILDAR	manager in India [n]
AMILDARS	AMILDAR, manager in India [n]
AMLA	species of Indian tree [n]
AMLAS	AMLA, species of Indian tree [n]
AMMONIACUM	gum made from resin of Indian plant [n]
AMMONIACUMS	AMMONIACUM, gum made from resin of Indian plant [n]
ANGA	part in Indian music [n]
ANGANWADI	(in India) rural centre providing care for mothers and young children [n]
ANGANWADIS	ANGANWADI, (in India) rural centre providing care for mothers and young children [n]
ANGAS	ANGA, part in Indian music [n]
ANICUT	dam in India [n]
ANICUTS	ANICUT, dam in India [n]
ANNA	former Indian coin worth one sixteenth of a rupee [n]
ANNAS	ANNA, former Indian coin worth one sixteenth of a rupee [n]
ANNICUT	dam in India [n]
ANNICUTS	ANNICUT, dam in India [n]
APSARAS	Hindu water sprite [n]
APSARASES	APSARAS, Hindu water sprite [n]
ARGALA	Indian stork [n]
ARGALAS	ARGALA, Indian stork [n]
ARNA	Indian water buffalo [n]
ARNAS	ARNA, Indian water buffalo [n]
ARTI	Hindu ritual performed in homes and temples [n]
ARTIS	ARTI, Hindu ritual performed in homes and temples [n]
ASHRAM	religious retreat where a Hindu holy man lives [n]
ASHRAMA	stage in Hindu spiritual life [n]
ASHRAMAS	ASHRAMA, stage in Hindu spiritual life [n]
ASHRAMS	ASHRAM, religious retreat where a Hindu holy man lives [n]
ASRAMA	stage in Hindu spiritual life [n]
ASRAMAS	ASRAMA, stage in Hindu spiritual life [n]
ASURA	demon in Hindu mythology [n]
ASURAS	ASURA, demon in Hindu mythology [n]
AUMIL	manager in India [n]
AUMILDAR	aumil (manager in India)
AUMILS	AUMIL, manager in India [n]
AUTORICKSHAW	a light, three-wheeled vehicle powered by a motorcycle engine, used in India, etc [n]
AUTORICKSHAWS	AUTORICKSHAW, a light, three-wheeled vehicle powered by a motorcycle engine, used in India, etc [n]
BABOO	babu (title or form of address used in India)
BABU	title or form of address used in India [n]
BABUDOM	BABU, title or form of address used in India [n]
BABUDOMS	BABU, title or form of address used in India [n]
BABUISM	BABU, title or form of address used in India [n]
BABUISMS	BABU, title or form of address used in India [n]
BABUL	N African and Indian tree with small yellow flowers [n]
BABULS	BABUL, N African and Indian tree with small yellow flowers [n]
BABUS	BABU, title or form of address used in India [n]
BACHA	Indian English word for a young child [n]
BACHAS	BACHA, Indian English word for a young child [n]
BACHCHA	Indian English word for a young child [n]
BACHCHAS	BACHCHA, Indian English word for a young child [n]
BAEL	type of spiny Indian tree [n]
BAELS	BAEL, type of spiny Indian tree [n]
BAFT	bafta (coarse fabric made in India)
BAFTA	coarse fabric made in India [n]
BAFTAS	BAFTA, coarse fabric made in India [n]
BAGH	(in India and Pakistan) a garden [n]
BAGHS	BAGH, (in India and Pakistan) a garden [n]
BAHADUR	title formerly conferred by the British on distinguished Indians [n]
BAHADURS	BAHADUR, title formerly conferred by the British on distinguished Indians [n]
BAHU	(in India) daughter-in-law [n]
BAHUS	BAHU, (in India) daughter-in-law [n]
BAJRA	Indian millet [n]
BAJRAS	BAJRA, Indian millet [n]
BAJREE	BAJRA, Indian millet [n]
BAJRI	BAJRA, Indian millet [n]
BALTI	spicy Indian dish served in a metal dish [n]
